InChI,RT
"InChI=1S/C42H80NO10P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-40(44)50-35-38(36-51-54(48,49)52-37-39(43)42(46)47)53-41(45)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h18,20,38-39H,3-17,19,21-37,43H2,1-2H3,(H,46,47)(H,48,49)/b20-18-",551.14776
"InChI=1S/C45H76NO10P/c1-3-5-7-9-11-13-15-17-19-20-21-22-23-25-27-29-31-33-35-37-44(48)56-41(39-54-57(51,52)55-40-42(46)45(49)50)38-53-43(47)36-34-32-30-28-26-24-18-16-14-12-10-8-6-4-2/h5,7,11,13,17,19,21-22,25,27,31,33,41-42H,3-4,6,8-10,12,14-16,18,20,23-24,26,28-30,32,34-40,46H2,1-2H3,(H,49,50)(H,51,52)/b7-5-,13-11-,19-17-,22-21-,27-25-,33-31-",509.38914000000005
"InChI=1S/C43H76NO10P/c1-3-5-7-9-11-13-15-17-19-20-21-23-25-27-29-31-33-35-42(46)54-39(37-52-55(49,50)53-38-40(44)43(47)48)36-51-41(45)34-32-30-28-26-24-22-18-16-14-12-10-8-6-4-2/h5,7,11,13,17,19,21,23,39-40H,3-4,6,8-10,12,14-16,18,20,22,24-38,44H2,1-2H3,(H,47,48)(H,49,50)/b7-5-,13-11-,19-17-,23-21-",512.04336
"InChI=1S/C44H74NO10P/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-24-26-28-30-32-34-36-43(47)55-40(38-53-56(50,51)54-39-41(45)44(48)49)37-52-42(46)35-33-31-29-27-25-23-16-14-12-10-8-6-4-2/h5,7,11,13,17-18,20-21,24,26,30,32,40-41H,3-4,6,8-10,12,14-16,19,22-23,25,27-29,31,33-39,45H2,1-2H3,(H,48,49)(H,50,51)/b7-5-,13-11-,18-17-,21-20-,26-24-,32-30-",497.95416
"InChI=1S/C42H74NO10P/c1-3-5-7-9-11-13-15-17-18-19-20-22-24-26-28-30-32-34-41(45)53-38(36-51-54(48,49)52-37-39(43)42(46)47)35-50-40(44)33-31-29-27-25-23-21-16-14-12-10-8-6-4-2/h5,7,11,13,17-18,20,22,38-39H,3-4,6,8-10,12,14-16,19,21,23-37,43H2,1-2H3,(H,46,47)(H,48,49)/b7-5-,13-11-,18-17-,22-20-",499.9008
"InChI=1S/C40H74NO10P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-39(43)51-36(34-49-52(46,47)50-35-37(41)40(44)45)33-48-38(42)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h11,13,17-18,36-37H,3-10,12,14-16,19-35,41H2,1-2H3,(H,44,45)(H,46,47)/b13-11-,18-17-",500.46396
"InChI=1S/C38H74NO10P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-36(40)46-31-34(32-47-50(44,45)48-33-35(39)38(42)43)49-37(41)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h34-35H,3-33,39H2,1-2H3,(H,42,43)(H,44,45)",514.0566
"InChI=1S/C49H79O13P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-42(50)59-39-41(40-60-63(57,58)62-49-47(55)45(53)44(52)46(54)48(49)56)61-43(51)38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h5-8,11-14,17-20,23-26,41,44-49,52-56H,3-4,9-10,15-16,21-22,27-40H2,1-2H3,(H,57,58)/b7-5-,8-6-,13-11-,14-12-,19-17-,20-18-,25-23-,26-24-",484.14492
"InChI=1S/C49H85O13P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-42(50)59-39-41(40-60-63(57,58)62-49-47(55)45(53)44(52)46(54)48(49)56)61-43(51)38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h6,8,12,14,17-20,24,26,41,44-49,52-56H,3-5,7,9-11,13,15-16,21-23,25,27-40H2,1-2H3,(H,57,58)/b8-6-,14-12-,19-17-,20-18-,26-24-",526.49364
"InChI=1S/C48H85O13P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-42(50)60-40(39-59-62(56,57)61-48-46(54)44(52)43(51)45(53)47(48)55)38-58-41(49)36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h5,7,11,13,17,19,23,25,40,43-48,51-55H,3-4,6,8-10,12,14-16,18,20-22,24,26-39H2,1-2H3,(H,56,57)/b7-5-,13-11-,19-17-,25-23-",540.40032
